Gold_biosample	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1	MEGAHIT v. 0.2.0	MEGAHIT v. 1.0.3	metaSPAdes v. 3.15.0	spades v. 3.11.1
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_number(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Contigs_size(>10000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0115840	4551594		4551594		2079136183		2079136183		981737		981737		866354125		866354125		212199		212199		357075626		357075626		462		462		357075626		357075626		91975		91975		357075626.0		357075626.0	
Gb0115867	4847318		4847318		2603517027		2603517027		1377461		1377461		1409546760		1409546760		369664		369664		733282680		733282680		3026		3026		733282680		733282680		2010344		2010344		733282680.0		733282680.0	
Gb0115853	2020522	7052879	2020522		955740482	5638172185	955740482		491770	4157827	491770		426879430	4413992515	426879430		102735	1110989	102735		169436523	2386642801	169436523		155	15568	155		169436523	2386642801	169436523		46144	1035431	46144		169436523.0	2386642801.0	169436523.0	
Gb0115862	6387808		6387808		3851904016		3851904016		2092784		2092784		2365516692		2365516692		673510		673510		1404200910		1404200910		7136		7136		1404200910		1404200910		164616		164616		1404200910.0		1404200910.0	
Gb0115855	7003662		7003662		4348498977		4348498977		2477222		2477222		2745387977		2745387977		780442		780442		1596840059		1596840059		6941		6941		1596840059		1596840059		252619		252619		1596840059.0		1596840059.0	
Gb0115852	6192071		6192071	6173504	4465016540		4465016540	4293335368	2469185		2469185	2348691	3141278561		3141278561	2925434476	903540		903540	805121	2072990774		2072990774	1874895941	13678		13678	13598	2072990774		2072990774	1874895941	334059		334059	476264	2072990774.0		2072990774.0	1874895941.0
Gb0115854	6443641	5811134	6443641		3609643939	4319289642	3609643939		1990403	3231022	1990403		2062320146	3233386272	2062320146		581018	796630	581018		1113948767	1623954847	1113948767		3408	8035	3408		1113948767	1623954847	1113948767		172880	172068	172880		1113948767.0	1623954847.0	1113948767.0	
Gb0115850	3059812	2756394	3059812	2709329	1677166997	1993281614	1677166997	1435914458	922868	1541377	922868	773279	933898858	1476366542	933898858	761715134	255440	353540	255440	199389	485593096	692924807	485593096	377366214	1727	3528	1727	1334	485593096	692924807	485593096	377366214	129376	144792	129376	324835	485593096.0	692924807.0	485593096.0	377366214.0
Gb0115845	2564043		2564043	2547268	1162298517		1162298517	1135485256	544333		544333	511732	475033504		475033504	438410872	112166		112166	96577	189054330		189054330	165891913	435		435	443	189054330		189054330	165891913	273320		273320	280406	189054330.0		189054330.0	165891913.0
Gb0115843	3419180		3419180		1834729917		1834729917		948681		948681		990895903		990895903		271241		271241		535042620		535042620		2230		2230		535042620		535042620		1089059		1089059		535042620.0		535042620.0	
Gb0115847	3577341		3577341		1844424565		1844424565		925778		925778		942899905		942899905		255559		255559		493633410		493633410		1574		1574		493633410		493633410		485809		485809		493633410.0		493633410.0	
Gb0115856	7186908		7186908		4770583816		4770583816		2755869		2755869		3185933893		3185933893		912282		912282		1934908639		1934908639		9705		9705		1934908639		1934908639		768460		768460		1934908639.0		1934908639.0	
Gb0115861	5135530		5135530		2962974786		2962974786		1603147		1603147		1736381267		1736381267		478989		478989		979436674		979436674		4598		4598		979436674		979436674		181700		181700		979436674.0		979436674.0	
Gb0115864	3929393		3929393		2764769931		2764769931		1613409		1613409		1934869504		1934869504		554416		554416		1215510900		1215510900		6863		6863		1215510900		1215510900		266330		266330		1215510900.0		1215510900.0	
Gb0115841	3605280		3605280		2005981805		2005981805		1095956		1095956		1141954773		1141954773		320022		320022		617727003		617727003		2140		2140		617727003		617727003		292294		292294		617727003.0		617727003.0	
Gb0115863	5807983	5807050	5807983	4242614	3852360779	4739869925	3852360779	2587823506	2190772	3554534	2190772	1320067	2559479860	3790783920	2559479860	1566843540	714438	949934	714438	404203	1557643523	2055065931	1557643523	949874544	9827	14072	9827	7415	1557643523	2055065931	1557643523	949874544	1034622	1035431	1034622	1034622	1557643523.0	2055065931.0	1557643523.0	949874544.0
Gb0115838	60883		15217		14524272		4813355		186		321		107475		196682		1		10		1180		12324		0		0		1180		12324		1180		2087		1180.0		12324.0	
Gb0115848	2148071		2148071	2790892	1094076201		1094076201	1283567223	626204		626204	579752	561164212		561164212	572431749	148790		148790	150168	241810096		241810096	285916787	189		189	953	241810096		241810096	285916787	54784		54784	110462	241810096.0		241810096.0	285916787.0
Gb0115849	5183273	5400889	5183273		3332048840	4243433916	3332048840		1893789	3185339	1893789		2162186615	3309094950	2162186615		607353	828193	607353		1290578386	1741829729	1290578386		7167	11239	7167		1290578386	1741829729	1290578386		313059	457290	313059		1290578386.0	1741829729.0	1290578386.0	
Gb0115842	4613862		4613862		2387560218		2387560218		1256633		1256633		1239027221		1239027221		340716		340716		623969388		623969388		1162		1162		623969388		623969388		702221		702221		623969388.0		623969388.0	
Gb0115857	4328923		4328923		2471955443		2471955443		1360891		1360891		1437463403		1437463403		385954		385954		781225654		781225654		3364		3364		781225654		781225654		2010345		2010345		781225654.0		781225654.0	
Gb0115860	5305986		5305986		3171614382		3171614382		1756824		1756824		1932068172		1932068172		539696		539696		1109785297		1109785297		5821		5821		1109785297		1109785297		201102		201102		1109785297.0		1109785297.0	
Gb0115866	6761806		6761806		3590291033		3590291033		1907405		1907405		1922338201		1922338201		530292		530292		997356110		997356110		2692		2692		997356110		997356110		558123		558123		997356110.0		997356110.0	
Gb0115858	5333585	5572799	5333585		3981556262	4950567071	3981556262		2290220	3525640	2290220		2889802892	4110492214	2889802892		835485	1091736	835485		1896326826	2462917779	1896326826		12487	18215	12487		1896326826	2462917779	1896326826		177088	292978	177088		1896326826.0	2462917779.0	1896326826.0	
Gb0115844	3920024		3920024		1977847183		1977847183		1039034		1039034		992955930		992955930		269652		269652		476760093		476760093		1042		1042		476760093		476760093		196297		196297		476760093.0		476760093.0	
Gb0115846	2732612		2732612		1298327243		1298327243		599800		599800		577023745		577023745		148877		148877		277431812		277431812		969		969		277431812		277431812		796501		796501		277431812.0		277431812.0	
Gb0115851	5570561		5570561		3227296715		3227296715		1743551		1743551		1898666844		1898666844		523624		523624		1076767645		1076767645		5174		5174		1076767645		1076767645		390068		390068		1076767645.0		1076767645.0	
Gb0115865	6312573		6312573		3942728329		3942728329		2254636		2254636		2501135627		2501135627		710699		710699		1456514430		1456514430		6345		6345		1456514430		1456514430		154750		154750		1456514430.0		1456514430.0	
Gb0115839	3419791		3419791		1560286742		1560286742		705718		705718		644157403		644157403		159638		159638		282844955		282844955		584		584		282844955		282844955		289140		289140		282844955.0		282844955.0	
